Program Name, @ 25 hours a week,Cost,Syllabus
A+ NETWORK+ AND MDAA DESKTOP CERT. PREP,26 weeks,"$8,864 ",<a href='https://aolccbc.com/programs/a_network_and_microsoft_certification_preparation/a_network_mcsa_desktop_certification_prep.pdf'>Info Sheet</a>
ACCOUNTING ADMINISTRATOR DIPLOMA with SAGE,31 weeks,"$11,913 ",<a href='https://aolccbc.com/programs/accounting_administrator/Accounting-Administrator-with-SAGE-Diploma-Outline-BC.pdf'>Info Sheet</a>
ACCOUNTING AND BUSINESS TECHNOLOGY DIPLOMA,35 weeks,"$13,083 ",<a href='https://aolccbc.com/programs/accounting_and_business_technology/accounting_business_technology_diploma.pdf'>Info Sheet</a>
ACCOUNTING AND PAYROLL ADMINISTRATOR DIPLOMA,49 Weeks,"$15,284 ","<a href=""https://aolccbc.com/programs/accounting_and_payroll_administrator/BC-Final-Accounting-and-Payroll-Administrator-Diploma.pdf"">Info Sheet</a>"
ACCOUNTING BOOKKEEPER CERTIFICATE,25 weeks,"$9,061 ",<a href='https://aolccbc.com/programs/accounting-bookkeeper-certificate/Accounting-Bookkeeper-Certificate-BC.pdf'>Info Sheet</a>
ACCOUNTING CLERK CERTIFICATE,25 weeks,"$6,906 ",<a href='https://aolccbc.com/programs/accounting_clerk/accounting_clerk_outline.pdf'>Info Sheet</a>
ADDICTIONS WORKER,12 weeks,"$3,433 ",<a href='https://aolccbc.com/programs/addictions_worker/BC-Final-Addictions-Worker-Outline.pdf'>Info Sheet</a>
ADMINISTRATIVE ASSISTANT DIPLOMA,30 weeks,"$10,451 ",<a href='https://aolccbc.com/programs/administrative_assistant/administrative_assistant_diploma.pdf'>Info Sheet</a>
BUSINESS ADMINISTRATION DIPLOMA,48 weeks,"$18,247 ",<a href='https://aolccbc.com/programs/business_administration/business_administration_outline.pdf'>Info Sheet</a>
BUSINESS MANAGEMENT CERTIFICATE,24 weeks,"$9,683 ",<a href='https://aolccbc.com/programs/business_management/business_management_outline.pdf'>Info Sheet</a>
BUSINESS OFFICE SKILLS DIPLOMA,32 weeks,"$11,763 ",<a href='https://aolccbc.com/programs/business_office_skills/business_office_skills_diploma.pdf'>Info Sheet</a>
BUSINESS RECEPTIONIST CERTIFICATE,26 weeks,"$7,489 ",<a href='https://aolccbc.com/programs/business_receptionist/business_receptionist_outline.pdf'>Info Sheet</a>
CALL CENTRE CUSTOMER REPRESENTATIVE DIPLOMA,27 weeks,"$9,981 ",<a href='https://aolccbc.com/programs/call_centre_customer_representative/call_centre_customer_representative_diploma.pdf'>Info Sheet</a>
COMMUNITY SERVICE WORKER DIPLOMA,34 weeks,"$12,724 ",<a href='https://aolccbc.com/programs/community_service_worker/community_service_worker_outline.pdf'>Info Sheet</a>
COMMUNITY SERVICE WORKER WITH ADDICTIONS DIPLOMA,46 weeks,"$15,803 ",<a href='https://aolccbc.com/programs/community_service_worker_with_addictions_specialty/bc_final_csw_with_aw_outline.pdf'>Info Sheet</a>
COMPUTER SERVICE TECHNICIAN CERTIFICATE,23 weeks,"$5,822 ",<a href='https://aolccbc.com/programs/computer-service-technician-certificate/bc_final_computer_service_technician_cert_outline.pdf'>Info Sheet</a>
COMPUTER SERVICE TECHNICIAN DIPLOMA,36 weeks,"$12,521 ",<a href='https://aolccbc.com/programs/computer-service-technician-diploma/BC_Final_Computer_Service_Technician_Diploma.pdf'>Info Sheet</a>
COMPUTERIZED OFFICE PROCEDURES CERTIFICATE,22 weeks,"$7,486 ",<a href='https://aolccbc.com/programs/computerized_office_procedures/computerized_office_procedures_outline.pdf'>Info Sheet</a>
CONFERENCE AND EVENT PLANNER DIPLOMA,39 weeks,"$14,828 ",<a href='https://aolccbc.com/programs/conference_and_event_planning/BC-Final-Conference-and-Event-Planner-Outline.pdf'>Info Sheet</a>
CUSTOMER SERVICE REPRESENTATIVE CERTIFICATE,17 weeks,"$6,625 ",<a href='https://aolccbc.com/programs/customer_service_representative/customer_service_representative_outline.pdf'>Info Sheet</a>
ENTREPRENEURIAL BUSINESS APPLICATIONS DIPLOMA,35 weeks,"$12,895 ",<a href='https://aolccbc.com/programs/entrepreneurial_business_applications/entrepreneurial_business_applications_outline-1.pdf'>Info Sheet</a>
EXECUTIVE ASSISTANT DIPLOMA,40 weeks,"$14,688 ",<a href='https://aolccbc.com/programs/executive_assistant/executive_assistant_outline.pdf'>Info Sheet</a>
GRAPHIC DESIGNER,42 weeks,"$16,750 ",<a href='https://aolccbc.com/programs/graphic_designer/AOLCC_Graphic_Designer_Program_Outline-OCT_2018.pdf'>Info Sheet</a>
HUMAN RESOURCES ADMINISTRATION CERTIFICATE,25 weeks,"$8,822 ",<a href='https://aolccbc.com/programs/human_resources_administration/human_resources_administration_outline.pdf'>Info Sheet</a>
MARKETING ADMINISTRATIVE ASSISTANT CERTIFICATE,29 weeks,"$11,009 ",<a href='https://aolccbc.com/programs/marketing_administrative_assistant/marketing_administrative_assistant_outline.pdf'>Info Sheet</a>
MARKETING COORDINATOR DIPLOMA,36 weeks,"$14,596 ",<a href='https://aolccbc.com/programs/marketing_coordinator/marketing_coordinator_outline-1.pdf'>Info Sheet</a>
MCSA: SERVER CERTIFICATION PREPARATION,11 weeks,"$4,208 ",<a href='https://aolccbc.com/programs/microsoft-certified-solutions-associate-server/MCSA_Windows_Server_Certification_Preparation_Program_Outline.pdf'>Info Sheet</a>
MEDICAL ADMINISTRATIVE ASSISTANT CERTIFICATE,34 weeks,"$11,229 ",<a href='https://aolccbc.com/programs/medical_administrative_assistant/medical_administrative_assistant_outline.pdf'>Info Sheet</a>
MEDICAL OFFICE ASSISTANT DIPLOMA,42 weeks,"$14,487 ",<a href='https://aolccbc.com/programs/medical_office_assistant/medical_office_assistant_outline.pdf'>Info Sheet</a>
MEDICAL OFFICE ASSISTANT DIPLOMA W/ UNIT CLERK,52 weeks,"$16,809 ",<a href='https://aolccbc.com/programs/medical_office_assistant_with_health_unit-_coordinator_specialty/moa_with_huc.pdf'>Info Sheet</a>
NETWORK ADMINISTRATOR DIPLOMA (SERVER 2016),61 weeks,"$21,270 ",<a href='https://aolccbc.com/programs/network_administrator/BC_Final_Network_Administrator_Outline.pdf'>Info Sheet</a>
OFFICE ADMINISTRATION ASSISTANT CERTIFICATE,19 weeks,"$6,650 ",<a href='https://aolccbc.com/programs/office_administration_assistant/office_administration_assistant_outline.pdf'>Info Sheet</a>
OFFICE ADMINISTRATION DIPLOMA,40 weeks,"$14,605 ",<a href='https://aolccbc.com/programs/office_administration/office_administration_diploma.pdf'>Info Sheet</a>
OFFICE CLERK CERTIFICATE,16 weeks,"$5,841 ",<a href='https://aolccbc.com/programs/office_clerk/office_clerk_certificate.pdf'>Info Sheet</a>
PAYROLL ADMINISTRATOR CERTIFICATE,29 weeks,"$11,236 ",<a href='https://aolccbc.com/programs/payroll_administrator/payroll_administrator_outline-1.pdf'>Info Sheet</a>
PAYROLL CLERK CERTIFICATE,21 weeks,"$8,010 ",<a href='https://aolccbc.com/programs/payroll_clerk/payroll_clerk_certificate.pdf'>Info Sheet</a>
PC SUPPORT SPECIALIST DIPLOMA,42 weeks,"$13,958 ",<a href='https://aolccbc.com/programs/pc_support_specialist/BC_Final_PC_Support_Specialist_Outline.pdf'>Info Sheet</a>
PITMAN ENGLISH 1 MONTH,4 weks,$995 ,<a href='https://aolccbc.com/programs/pitman_english/pteng01-course_outline2.pdf'>Info Sheet</a>
PITMAN ENGLISH 3 MONTH,12 weeks,"$2,595 ",<a href='https://aolccbc.com/programs/pitman_english/pteng03-course_outline.pdf'>Info Sheet</a>
PROJECT ADMINISTRATION DIPLOMA,38 weeks,"$14,529 ",<a href='https://aolccbc.com/programs/project_administration/BC-Final-Project-Administration-Outline.pdf'>Info Sheet</a>
SALES ASSOCIATE CERTIFICATE,15 weeks,"$6,005 ",<a href='https://aolccbc.com/programs/sales_associate/sales_associate_outline.pdf'>Info Sheet</a>
SALES PROFESSIONAL DIPLOMA,32 weeks,"$12,141 ",<a href='https://aolccbc.com/programs/sales_professional/sales_professional_outline.pdf'>Info Sheet</a>
