Program Name,Cost,Link
A+ NETWORK+ AND MDAA DESKTOP CERT. PREP,"$8,510",<a href='https://aolccbc.com/programs/a_network_and_microsoft_certification_preparation/a_network_mcsa_desktop_certification_prep.pdf'>Info Sheet</a>
ACCOUNTING ADMINISTRATOR DIPLOMA with SAGE,"$11,559",<a href='https://aolccbc.com/programs/accounting_administrator/Accounting-Administrator-with-SAGE-Diploma-Outline-BC.pdf'>Info Sheet</a>
ACCOUNTING AND BUSINESS TECHNOLOGY DIPLOMA,"$12,729",<a href='https://aolccbc.com/programs/accounting_and_business_technology/accounting_business_technology_diploma.pdf'>Info Sheet</a>
ACCOUNTING BOOKKEEPER CERTIFICATE,"$8,707",<a href='https://aolccbc.com/programs/accounting-bookkeeper-certificate/Accounting-Bookkeeper-Certificate-BC.pdf'>Info Sheet</a>
ADDICTIONS WORKER CERTIFICATE,"$3,079",<a href='https://aolccbc.com/programs/addictions_worker/BC-Final-Addictions-Worker-Outline.pdf'>Info Sheet</a>
ADMINISTRATIVE ASSISTANT DIPLOMA,"$10,097",<a href='https://aolccbc.com/programs/administrative_assistant/administrative_assistant_diploma.pdf'>Info Sheet</a>
BUSINESS ADMINISTRATION DIPLOMA,"$17,893",<a href='https://aolccbc.com/programs/business_administration/business_administration_outline.pdf'>Info Sheet</a>
BUSINESS MANAGEMENT CERTIFICATE,"$9,329",<a href='https://aolccbc.com/programs/business_management/business_management_outline.pdf'>Info Sheet</a>
BUSINESS OFFICE SKILLS DIPLOMA,"$11,409",<a href='https://aolccbc.com/programs/business_office_skills/business_office_skills_diploma.pdf'>Info Sheet</a>
BUSINESS RECEPTIONIST CERTIFICATE,"$7,135",<a href='https://aolccbc.com/programs/business_receptionist/business_receptionist_outline.pdf'>Info Sheet</a>
CALL CENTRE CUSTOMER REPRESENTATIVE DIPLOMA,"$9,627",<a href='https://aolccbc.com/programs/call_centre_customer_representative/call_centre_customer_representative_diploma.pdf'>Info Sheet</a>
COMMUNITY SERVICE WORKER DIPLOMA,"$12,370",<a href='https://aolccbc.com/programs/community_service_worker/community_service_worker_outline.pdf'>Info Sheet</a>
COMMUNITY SERVICE WORKER WITH ADDICTIONS DIPLOMA,"$12,370",<a href='https://aolccbc.com/programs/community_service_worker_with_addictions_specialty/bc_final_csw_with_aw_outline.pdf'>Info Sheet</a>
COMPUTER SERVICE TECHNICIAN DIPLOMA,"$12,167",<a href='https://aolccbc.com/programs/computer-service-technician/BC_Final_Computer_Service_Technician_Diploma.pdf'>Info Sheet</a>
COMPUTER SOFTWARE SUPPORT DIPLOMA,"$14,027",<a href='https://aolccbc.com/programs/computer_software_support/computer_software_support_outline.pdf'>Info Sheet</a>
COMPUTERIZED OFFICE PROCEDURES CERTIFICATE,"$7,132",<a href='https://aolccbc.com/programs/computerized_office_procedures/computerized_office_procedures_outline.pdf'>Info Sheet</a>
CONFERENCE AND EVENT PLANNER DIPLOMA,"$14,474",<a href='https://aolccbc.com/programs/conference_and_event_planning/BC-Final-Conference-and-Event-Planner-Outline.pdf'>Info Sheet</a>
CUSTOMER SERVICE REPRESENTATIVE CERTIFICATE,"$6,271",<a href='https://aolccbc.com/programs/customer_service_representative/customer_service_representative_outline.pdf'>Info Sheet</a>
ENTREPRENEURIAL BUSINESS APPLICATIONS DIPLOMA,"$12,541",<a href='https://aolccbc.com/programs/entrepreneurial_business_applications/entrepreneurial_business_applications_outline-1.pdf'>Info Sheet</a>
EXECUTIVE ASSISTANT DIPLOMA,"$14,334",<a href='https://aolccbc.com/programs/executive_assistant/executive_assistant_outline.pdf'>Info Sheet</a>
GRAPHIC DESIGNER,"$14,334",<a href='https://aolccbc.com/programs/graphic_designer/AOLCC_Graphic_Designer_Program_Outline-OCT_2018.pdf'>Info Sheet</a>
HUMAN RESOURCES ADMINISTRATION CERTIFICATE,"$8,468",<a href='https://aolccbc.com/programs/human_resources_administration/human_resources_administration_outline.pdf'>Info Sheet</a>
MARKETING ADMINISTRATIVE ASSISTANT CERTIFICATE,"$10,655",<a href='https://aolccbc.com/programs/marketing_administrative_assistant/marketing_administrative_assistant_outline.pdf'>Info Sheet</a>
