Name of Program,Weeks Duration,Hours,FullTime,Part Time,Type,Tuition,Active,Category,Without Type,URL,JSON,SMORG,
A+ Network+ And Microsoft Certification Preparation,38,950,Yes,Yes,Diploma,8510 ,Yes,IT,A+ NETWORK+ AND MICROSOFT CERTIFICATION PREPARATION,a_network_and_microsoft_certification_preparation,a_network_and_microsoft_certification_preparation_programdata.json,a_network_and_microsoft_certification_preparation_diploma.pdf,
Accounting Administrator With Sage,40,1000,Yes,Yes,Diploma,11559 ,Yes,Accounting,ACCOUNTING ADMINISTRATOR with SAGE,accounting_administrator_with_sage,accounting_administrator_with_sage_programdata.json,accounting_administrator_with_sage_diploma.pdf,
Accounting And Business Technology Diploma,45,1125,Yes,Yes,Diploma,12729 ,Yes,Accounting,ACCOUNTING AND BUSINESS TECHNOLOGY,accounting_and_business_technology,accounting_and_business_technology_programdata.json,accounting_and_business_technology_diploma.pdf,
Accounting And Payroll Administrator Diploma,55,1375,Yes,Yes,Diploma,15180 ,Yes,Accounting,ACCOUNTING AND PAYROLL ADMINISTRATOR,accounting_and_payroll_administrator,accounting_and_payroll_administrator_programdata.json,accounting_and_payroll_administrator_diploma.pdf,
Accounting Bookkeeper Certificate,33,825,Yes,Yes,Certificate,8707 ,Yes,Accounting,ACCOUNTING BOOKKEEPER,accounting_bookkeeper,accounting_bookkeeper_programdata.json,accounting_bookkeeper_certificate.pdf,
Accounting Clerk Certificate,23,575,Yes,Yes,Certificate,6452 ,Yes,Accounting,ACCOUNTING CLERK,accounting_clerk,accounting_clerk_programdata.json,accounting_clerk_certificate.pdf,
Addictions Worker Certificate,15,375,Yes,No,Certificate,3079 ,Yes,Community Support Services,ADDICTIONS WORKER,addictions_worker,addictions_worker_programdata.json,addictions_worker_certificate.pdf,
Administrative Assistant Diploma,39,975,Yes,Yes,Diploma,10097 ,Yes,Business,ADMINISTRATIVE ASSISTANT,administrative_assistant,administrative_assistant_programdata.json,administrative_assistant_diploma.pdf,
Business Administration Co-Op Diploma,8,200,Yes,Yes,Diploma,657 ,Yes,Business,BUSINESS ADMINISTRATION CO-OP,business_administration_coop,business_administration_coop_programdata.json,business_administration_coop_diploma.pdf,
Business Administration Diploma,7,175,Yes,Yes,Diploma,499 ,Yes,Business,BUSINESS ADMINISTRATION,business_administration,business_administration_programdata.json,business_administration_diploma.pdf,
Business Management Certificate,31,775,Yes,Yes,Certificate,9329 ,Yes,Business,BUSINESS MANAGEMENT,business_management,business_management_programdata.json,business_management_certificate.pdf,
